WineID,WineName,Type,Elaborate,Grapes,Harmonize,ABV,Body,Acidity,Code,Country,RegionID,RegionName,WineryID,WineryName,FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,Quality
100062,Origem Merlot,Red,Varietal/100%,['Merlot'],"['Beef', 'Lamb', 'Veal', 'Grilled', 'Pizza', 'Pasta']",13.0,Full-bodied,Medium,BR,Brazil,1002,Vale dos Vinhedos,10014,Casa Valduga,8.49,0.15,0.64,1.37,0.07,50.57,53.81,1.0,3.62,0.65,9.3,7
100191,Reserva Chardonnay,White,Varietal/100%,['Chardonnay'],"['Rich Fish', 'Seafood', 'Risotto', 'Poultry', 'Vegetarian']",13.0,Medium-bodied,Medium,BR,Brazil,1001,Serra Gaúcha,10000,Aurora,15.41,1.05,0.08,8.52,0.54,39.06,84.84,0.99,2.9,0.35,11.79,8
101847,Dona Antonia Porto Reserva Tawny,Dessert/Port,Assemblage/Blend,"['Touriga Nacional', 'Touriga Franca', 'Tinta Barroca', 'Tinta Amarela']","['Appetizer', 'Sweet Dessert', 'Blue Cheese']",20.0,Very full-bodied,High,PT,Portugal,1031,Porto,10674,Porto Ferreira,12.78,0.57,0.16,8.66,0.31,22.98,56.09,0.99,3.45,0.61,14.11,9
102055,Fine Ruby Port,Dessert/Port,Assemblage/Blend,"['Tinta Amarela', 'Tinta Barroca', 'Touriga Franca', 'Tinta Roriz', 'Tinto Cão']","['Sweet Dessert', 'Cake', 'Fruit', 'Soft Cheese']",19.5,Very full-bodied,Medium,PT,Portugal,1031,Porto,10703,Sandeman,11.18,0.86,0.9,10.1,0.5,58.78,31.1,0.99,3.49,1.29,13.13,9
102079,Maré Alta,White,Assemblage/Blend,"['Loureiro', 'Alvarinho', 'Arinto']","['Fish', 'Shellfish', 'Vegetarian', 'Appetizer', 'Snack']",10.0,Very light-bodied,High,PT,Portugal,1034,Vinho Verde,11486,Fonte Pequena,5.87,1.46,0.61,11.42,0.2,49.62,40.14,0.99,3.25,1.02,13.65,3
102645,Terras de Felgueiras Espumante de Vinho Verde Seco Branco,Sparkling,Assemblage/Blend,"['Loureiro', 'Arinto', 'Trajadura', 'Azal Branco']","['Appetizer', 'Rich Fish', 'Shellfish', 'Soft Cheese']",11.5,Medium-bodied,Medium,PT,Portugal,1034,Vinho Verde,11521,Cooperativa Agricola de Felgueiras,5.87,0.47,0.01,15.14,0.54,12.55,136.4,1.0,3.66,1.82,12.61,3
102902,Pátria Alentejo Selection Reserva,Red,Assemblage/Blend,"['Alicante Bouschet', 'Aragonez', 'Trincadeira']","['Beef', 'Lamb', 'Veal', 'Game Meat', 'Maturated Cheese']",14.5,Full-bodied,Medium,PT,Portugal,1039,Alentejo,12437,Carmim,4.7,0.72,0.1,8.29,0.24,65.68,64.39,0.99,3.91,1.69,12.85,5
103003,Além do Rio Branco,White,Assemblage/Blend,"['Malvasia', 'Seara Nova', 'Arinto', 'Fernão Pires']","['Pasta', 'Grilled', 'Shellfish', 'Lean Fish']",9.5,Medium-bodied,High,PT,Portugal,1035,Lisboa,11676,Azueira,14.39,1.23,0.66,5.41,0.02,59.4,109.09,1.0,3.9,0.88,13.94,6
103070,Calda Bordaleza Tinto,Red,Assemblage/Bordeaux Red Blend,"['Cabernet Sauvignon', 'Merlot', 'Petit Verdot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",14.0,Full-bodied,Medium,PT,Portugal,1046,Bairrada,12633,Campolargo,11.21,0.44,0.01,12.45,0.54,68.44,148.47,0.99,3.29,0.74,9.75,4
103433,Regional Tinto,Red,Assemblage/Blend,"['Aragonez', 'Syrah/Shiraz']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",13.0,Full-bodied,Medium,PT,Portugal,1035,Lisboa,11681,Mundus,12.5,0.22,0.16,4.64,0.06,52.53,201.38,1.0,2.85,0.95,11.43,3
103435,Lacrau Colheita Field Blend,Red,Assemblage/Portuguese Red Blend,"['Touriga Franca', 'Touriga Nacional', 'Tinta Roriz', 'Tinta Barroca']","['Beef', 'Pasta', 'Lamb', 'Game Meat']",13.5,Full-bodied,Medium,PT,Portugal,1032,Douro,11004,Secret Spot Wines,4.25,0.53,0.55,7.14,0.2,44.55,17.13,1.0,3.98,1.3,9.55,7
103667,Maria Izabel Rosé,Rosé,Assemblage/Blend,"['Tinta Roriz', 'Tinta Francisca', 'Touriga Nacional']","['Beef', 'Tomato Dishes', 'Maturated Cheese', 'Hard Cheese']",13.0,Medium-bodied,High,PT,Portugal,1032,Douro,10983,Quinta Maria Izabel,15.64,0.34,0.69,1.77,0.57,30.7,232.23,1.0,3.79,0.76,14.91,5
105585,Terras de Basto Tinto,Red,Assemblage/Blend,"['Azal Tinto', 'Vinhão', 'Padeiro']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",10.5,Full-bodied,Medium,PT,Portugal,1034,Vinho Verde,11590,Quinta de Soutelos,13.99,1.49,0.65,0.98,0.57,67.22,183.7,1.0,2.86,1.36,14.61,4
105599,Primata Touriga Nacional,Red,Assemblage/Portuguese Red Blend,"['Tinta Amarela', 'Touriga Franca', 'Tinta Roriz', 'Tinto Cão', 'Touriga Nacional']","['Poultry', 'Light Stews', 'Salad', 'Snack']",11.2,Full-bodied,Medium,PT,Portugal,1032,Douro,10901,Niepoort,6.55,1.31,0.22,14.94,0.35,62.49,29.14,1.0,3.9,1.0,8.28,5
105748,Porto Colheita,Dessert/Port,Assemblage/Port Blend,"['Touriga Nacional', 'Touriga Franca', 'Tinta Roriz']","['Sweet Dessert', 'Cake', 'Fruit', 'Soft Cheese']",20.0,Very full-bodied,Medium,PT,Portugal,1031,Porto,11424,Quinta do Portal,6.18,1.05,0.71,13.06,0.38,4.21,253.22,0.99,3.83,1.24,12.94,4
105911,White Reserve Porto,Dessert/Port,Assemblage/Blend,"['Rabigato', 'Viosinho', 'Malvasia Fina', 'Côdega de Larinho']","['Aperitif', 'Sweet Dessert', 'Blue Cheese']",19.5,Very full-bodied,Medium,PT,Portugal,1032,Douro,10813,Bulas,6.2,1.41,0.24,10.97,0.27,2.87,266.61,1.0,3.37,1.04,14.48,4
107214,Black Label Nik Weis Saar Riesling,White,Varietal/100%,['Riesling'],"['Pork', 'Shellfish', 'Spicy Food', 'Poultry', 'Cured Meat']",11.5,Medium-bodied,High,DE,Germany,1081,Mosel,14311,Weingut Nik Weis-St. Urbans-Hof,7.65,1.31,0.33,6.69,0.18,27.73,23.29,1.0,3.47,0.8,9.26,8
